"school_name","year","cep","eligible","pct_free_reduced","unpaid","debt_per_student"
"Southern","2013-14",0,NA,0.735229759299781,5154.63,5.63963894967177
"Sandy Ridge","2013-14",0,NA,0.631133671742809,1608.86,2.72226734348562
"Rogers Herr","2013-14",0,NA,0.451104100946372,1209.85,1.90828075709779
"Southwest","2013-14",0,NA,0.705974842767296,10920.92,17.1712578616352
"C C Spaulding","2013-14",0,NA,1,1137.53,4.27642857142857
"Spring Valley","2013-14",0,NA,0.703020134228188,746.21,1.25203020134228
"W G Pearson Elementary","2013-14",0,NA,0.958408679927667,3007.1,5.4377938517179
"Y E Smith","2013-14",0,NA,1,633.9,1.61709183673469
"Hillside New Tech","2013-14",0,NA,0.551724137931034,330.61,1.03639498432602
"Bethesda","2014-15",1,1,0.556053811659193,6.5,0.00971599402092676
"Brogden","2014-15",0,1,0.761978361669243,926.04,1.4312828438949
"Burton","2014-15",0,1,0.956164383561644,4396.76,12.0459178082192
"Early College","2014-15",0,NA,0.594117647058824,895.9,2.635
"Eastway","2014-15",1,1,0.896013864818024,0,0
"Jordan","2014-15",0,NA,0.431793179317932,6676.57,3.67248074807481
"Easley","2014-15",0,NA,0.304728546409807,1057.86,1.85264448336252
"School for Creative Studies","2014-15",0,NA,0.466666666666667,1902.18,4.3728275862069
"Eno Valley","2014-15",0,0,0.929982046678636,765.68,1.37464991023339
"Carrington","2014-15",0,1,0.65590405904059,1266.94,1.16876383763838
"City of Medicine","2014-15",0,NA,0.551495016611296,266.14,0.884186046511628
"Club","2014-15",0,1,0.6,187.24,0.37448
"Creekside","2014-15",0,NA,0.479467258601554,383.99,0.426182019977802
"Glenn","2014-15",1,1,0.632375189107413,16.45,0.0248865355521936
"Performance Learning Center","2014-15",0,1,0.663101604278075,697.44,3.7296256684492
"Durham School of the Arts","2014-15",0,NA,0.394366197183099,2591.47,1.58693815064299
"Hillandale","2014-15",0,0,0.661608497723824,764.74,1.16045523520486
"Hillside","2014-15",0,0,0.677316293929712,889.87,0.710758785942492
"Hope Valley","2014-15",0,1,0.6671826625387,3573.29,5.53140866873065
